question_id,category_id,category_slug,category_title,short_label,prompt,min_label,max_label
1,1,vasomotor-temperature,Vasomotor & Temperature,HOT FLASH FREQUENCY,How many times per day do you experience a sudden surge of heat?,Never,10+ times/day
2,1,vasomotor-temperature,Vasomotor & Temperature,HOT FLASH SEVERITY,"When a hot flash hits, how intense is it?",None,Disabling
3,1,vasomotor-temperature,Vasomotor & Temperature,NIGHT SWEAT FREQUENCY,How many nights per week do you wake drenched in sweat?,Never,Every night
4,1,vasomotor-temperature,Vasomotor & Temperature,HOT FLASH DURATION,How long does a typical hot flash last?,Under 1 min,Over 5 minutes
5,1,vasomotor-temperature,Vasomotor & Temperature,PALPITATIONS DURING FLASHES,Do you feel your heart racing during or after a hot flash?,Never,Every flash
6,1,vasomotor-temperature,Vasomotor & Temperature,CHILLS AFTER FLASH,"After a hot flash ends, do you immediately feel intensely cold?",Never,Every flash
7,1,vasomotor-temperature,Vasomotor & Temperature,COLD HANDS & FEET,Do your hands and feet feel chronically cold even when flushing?,No change,Constantly cold
8,1,vasomotor-temperature,Vasomotor & Temperature,HEAT INTOLERANCE,Have you become significantly more sensitive to heat?,No change,Cannot tolerate normal temperatures
9,1,vasomotor-temperature,Vasomotor & Temperature,ALCOHOL AS FLASH TRIGGER,Does alcohol reliably trigger a hot flash within 1–2 hours?,No effect,Always triggers
10,1,vasomotor-temperature,Vasomotor & Temperature,STRESS-TRIGGERED FLASHES,Do emotional stress episodes reliably intensify hot flashes?,No connection,Every stressful moment
11,1,vasomotor-temperature,Vasomotor & Temperature,CAFFEINE AS FLASH TRIGGER,Does caffeine reliably worsen or trigger hot flashes?,No effect,Any caffeine triggers immediately
12,1,vasomotor-temperature,Vasomotor & Temperature,FACIAL FLUSHING,Do you experience facial redness or flushing separate from hot flashes?,Never,Daily persistent redness
13,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,SLEEP ONSET LATENCY,How long does it take to fall asleep after getting into bed?,Under 15 mins,Over 2 hours
14,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,NIGHT WAKINGS FREQUENCY,How many times do you wake after initially falling asleep?,None,Cannot count
15,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,2–4AM WAKING PATTERN,Do you specifically wake between 2am and 4am and can't return to sleep?,Never,Every single night
16,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,WIRED-BUT-TIRED PARADOX,Do you feel exhausted during the day yet wired and alert at bedtime?,Never,Every night
17,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,SLEEP SATISFACTION ON WAKING,How rested do you feel when you wake up?,Fully rested,Exhausted — as if I never slept
18,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,MORNING BODY LAG,How long after waking does your body feel physically functional?,Within 15 mins,Never functional until afternoon
19,2,sleep-architecture-cortisol,Sleep Architecture & Cortisol,DREAM INTENSITY & NIGHTMARES,Have you noticed significantly more vivid or disturbing dreams?,No change,Nightly nightmares
